municipio_importacao,vl_Licitacao
Campina Grande,14627024271.232016
João Pessoa,7380778479.585007
Santa Rita,1155780396.2099988
Patos,1016743137.3200006
Sousa,971983813.9199997
Cabedelo,816067389.5299987
Ingá,796349336.44
Bayeux,682149906.1599993
Cajazeiras,574576163.8500006
Monteiro,547711629.1099998
