ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2016,CATINGUEIRA,ODIR PEREIRA BORGES FILHO,PMDB,15,PMDB / PSB / DEM / PSD / PC do B / PT do B
2016,SAO FRANCISCO,JOAO BOSCO GADELHA DE OLIVEIRA FILHO,PSDB,45,PSDB / PP / PMDB / PSC / PPS
2016,CATOLE DO ROCHA,LEOMAR BENICIO MAIA,PTB,14,PTB / PP / DEM / PSDB / PPS
2016,VIEIROPOLIS,JOSE CELIO ARISTOTELES,PSC,20,PRB / PSC / PSDB
2016,CONCEICAO,JOSE IVANILSON SOARES DE LACERDA,PSDB,45,PP / PMDB / PSC / PR / DEM / PRTB / PTC / PSDB
2016,AREIA DE BARAUNAS,MARIA DA GUIA ALVES,DEM,25,DEM / PSDB
2016,CONDADO,CAIO RODRIGO BEZERRA PAIXAO,PR,22,PR / PSDB / PSC / PSD / PC do B / PRB / DEM
2016,ALGODAO DE JANDAIRA,MARICLEIDE IZIDRO DA SILVA,PSD,55,PMDB / DEM / PC do B / PSD / PSL
2016,CONDE,MARCIA DE FIGUEIREDO LUCENA LIRA,PSB,40,PSB / PEN / PV / PT / PRTB
2016,BOA VISTA,ANDRE LUIZ GOMES DE ARAUJO,PDT,12,PDT / PTB / PSL / PSDB / PSC / PC do B
2016,CONGO,JOAQUIM QUIRINO DA SILVA JUNIOR,PDT,12,PDT / PMDB / PT / PSC / PSB
2016,MARCACAO,ELISELMA SILVA DE OLIVEIRA,PDT,12,PDT / PRB / PMDB / PC do B / PT do B / PTC / PR / DEM / PPS / PSD
2016,COREMAS,FRANCISCA DA CHAGAS ANDRADE DE OLIVEIRA,PDT,12,PDT / PP / PSC / PR / PSB / PSD
2016,MATUREIA,JOSE PEREIRA FREITAS DA SILVA,PDT,12,PDT / PTB / PSDB
2016,CRUZ DO ESPIRITO SANTO,PEDRO GOMES PEREIRA,PSD,55,PSD / PSL
2016,SANTA CECILIA,ROBERTO FLORENTINO PESSOA,DEM,25,PSDB / PSD / PMDB / DEM
2016,CUBATI,EDUARDO RONIELLE GUIMARAES MARTINS DANTAS,PSB,40,PSB / PTB / PPS / PSD / PSDC
2016,CUITE,CHARLES CRISTIANO INACIO DA SILVA,PSL,17,PSL / PP / PDT / PT / PR / PPS / DEM / PSB / PEN / PT do B
2016,CUITEGI,GUILHERME CUNHA MADRUGA JUNIOR,PSB,40,PMDB / PP / PSB / PRB / PDT / PSDC / PSD / PROS
2016,CURRAL VELHO,JOAQUIM ALVES BARBOSA FILHO,PSDB,45,PSDB / PSD / PTB
2016,DESTERRO,DILSON DE ALMEIDA,PR,22,PR / PP / PMDB / PPS / PSDB / PHS
2016,VISTA SERRANA,SERGIO GARCIA DA NOBREGA,PMDB,15,PMDB / PR / PC do B / PRB
2016,DIAMANTE,CARMELITA DE LUCENA MANGUEIRA,PSDB,45,PSDB / PTB / DEM / PSD
