"id","pessoajuridica","poder","tipojurisdicionado_fk","localidade_fk","nome","codigo_sagres","previdenciario","municipio_importacao","tramita_id","cancelled","esfera"
260,260,1,10,5566,"Companhia Paraibana de Gás","0",FALSE,"Paraíba",260,FALSE,2
811,811,4,14,5566,"Procuradoria Geral de Justiça","0",FALSE,"Paraíba",811,FALSE,2
283,283,1,2,5566,"Departamento de Estradas de Rodagem","0",FALSE,"Paraíba",283,FALSE,2
575,575,4,14,5566,"Ministério Público","0",FALSE,"Paraíba",575,FALSE,2
287,287,1,4,5566,"Empresa de Assistência Técnica e Extensão Rural","0",FALSE,"Paraíba",287,FALSE,2
16,16,1,10,5566,"Banco do Estado da Paraíba S/A","0",FALSE,"Paraíba",16,FALSE,2
249,249,1,4,5566,"Cidades Hortigranjeiras da Paraíba S/A","0",FALSE,"Paraíba",249,FALSE,2
254,254,1,10,5566,"Companhia de Investimentos e Incorporações da Paraíba","0",FALSE,"Paraíba",254,FALSE,2
257,257,1,10,5566,"Companhia Energética da Borborema","0",FALSE,"Paraíba",257,FALSE,2
875,875,1,10,5566,"Serviço Estadual de Transportes Urbanos S/A","0",FALSE,"Paraíba",875,FALSE,2
876,876,1,10,5566,"Sociedade Anônima de Eletrificação da Paraíba","0",FALSE,"Paraíba",876,FALSE,2
42389,42389,1,13,5566,"Secretaria de Estado da Articulação Municipal","0",FALSE,"Paraíba",42389,FALSE,2
819,819,1,13,5566,"Secretaria da Agricultura, Irrigação e Abastecimento","0",FALSE,"Paraíba",819,FALSE,2
561,561,3,14,5566,"Justiça Comum","0",FALSE,"Paraíba",561,FALSE,2
319,319,1,5,5566,"Fundação Estadual do Bem Estar do Menor Alice de Almeida","0",FALSE,"Paraíba",319,FALSE,2
33998,33998,1,7,5566,"Escritório de Representação Institucional do Estado da Paraíba","0",FALSE,"Paraíba",33998,FALSE,2
552,552,1,8,5566,"Instituto Hospitalar General Edson Ramalho","0",FALSE,"Paraíba",552,FALSE,2
578,578,1,2,5566,"Paraíba Previdência","0",TRUE,"Paraíba",578,FALSE,2
529,529,1,2,5566,"Instituto de Assistência à Saúde do Servidor - IPEP","0",FALSE,"Paraíba",529,FALSE,2
17433,17433,1,6,5566,"Fundo Estadual de Apoio ao Empreendedorismo","0",FALSE,"Paraíba",17433,FALSE,2
21706,21706,1,6,5566,"Fundo de Modernização e Reaparelhamento da PGE","0",FALSE,"Paraíba",21706,FALSE,2
39573,39573,1,6,5566,"Fundo de Apoio ao Esporte e Lazer","0",FALSE,"Paraíba",39573,FALSE,2
15671,15671,1,13,5566,"Secretaria de Estado da Administração Penitenciaria","0",FALSE,"Paraíba",15671,FALSE,2
830,830,1,7,5566,"Secretaria da Segurança Pública","0",FALSE,"Paraíba",830,FALSE,2
834,834,1,7,5566,"Secretaria de Controle da Despesa Pública","0",FALSE,"Paraíba",834,FALSE,2
846,846,1,7,5566,"Secretaria de Estado do Acompanhamento da Ação Governamental","0",FALSE,"Paraíba",846,FALSE,2
848,848,1,7,5566,"Secretaria de Estado do Desenvolvimento Econômico","0",FALSE,"Paraíba",848,FALSE,2
854,854,1,7,5566,"Secretaria de Orçamento e Finanças","0",FALSE,"Paraíba",854,FALSE,2
856,856,1,7,5566,"Secretaria de Recursos Hídricos","0",FALSE,"Paraíba",856,FALSE,2
860,860,1,7,5566,"Secretaria do Interior e Justiça","0",FALSE,"Paraíba",860,FALSE,2
862,862,1,7,5566,"Secretaria do Trabalho e Ação Social","0",FALSE,"Paraíba",862,FALSE,2
865,865,1,8,5566,"Secretaria Extraordinária de Articulação Governamental","0",FALSE,"Paraíba",865,FALSE,2
867,867,1,7,5566,"Secretaria Extraordinária do Meio Ambiente Rec. Hidricos e Minerais","0",FALSE,"Paraíba",867,FALSE,2
881,881,1,11,5566,"Superintendência dos Estádios da Paraíba","0",FALSE,"Paraíba",881,FALSE,2
886,886,1,11,5566,"Terceiros","0",FALSE,"Paraíba",886,FALSE,2
564,564,3,7,5566,"Justiça Militar","0",FALSE,"Paraíba",564,FALSE,2
262,262,1,2,5566,"Complexo de Saúde Cruz das Armas","0",FALSE,"Paraíba",262,FALSE,2
270,270,1,2,5566,"Conselho E. E. E. F. M. Prefeito Joaquim Lacerda Leite","0",FALSE,"Paraíba",270,FALSE,2
272,272,1,11,5566,"Conselho Regional de Contabilidade do Estado da Paraíba","0",FALSE,"Paraíba",272,FALSE,2
273,273,1,2,5566,"Consórcio de Desenvolvimento Intermunicipal do Cariri Paraibano","0",FALSE,"Paraíba",273,FALSE,2
276,276,1,6,5566,"Consórcio Intermunicipal de Saúde Pública do Brejo Paraibano","0",FALSE,"Paraíba",276,FALSE,2
295,295,1,11,5566,"Escola de Contas Otacílio Silveira","0",FALSE,"Paraíba",295,FALSE,2
297,297,1,7,5566,"Escritório de Representação do Governo do Estado em Brasília","0",FALSE,"Paraíba",297,FALSE,2
238,238,2,3,1266,"Câmara Municipal de Uirauna","101218",FALSE,"Uiraúna",238,FALSE,1
239,239,2,3,1433,"Câmara Municipal de Umbuzeiro","101219",FALSE,"Umbuzeiro",239,FALSE,1
586,586,1,9,1313,"Prefeitura Municipal de Água Branca","201001",FALSE,"Água Branca",586,FALSE,1
587,587,1,9,1293,"Prefeitura Municipal de Aguiar","201002",FALSE,"Aguiar",587,FALSE,1
588,588,1,9,1390,"Prefeitura Municipal de Alagoa Grande","201003",FALSE,"Alagoa Grande",588,FALSE,1
589,589,1,9,1391,"Prefeitura Municipal de Alagoa Nova","201004",FALSE,"Alagoa Nova",589,FALSE,1
590,590,1,9,5565,"Prefeitura Municipal de Alagoinha","201005",FALSE,"Alagoinha",590,FALSE,1
591,591,1,9,1356,"Prefeitura Municipal de Alcantil","201006",FALSE,"Alcantil",591,FALSE,1
592,592,1,9,1368,"Prefeitura Municipal de Algodão de Jandaíra","201007",FALSE,"Algodão de Jandaíra",592,FALSE,1
593,593,1,9,1460,"Prefeitura Municipal de Alhandra","201008",FALSE,"Alhandra",593,FALSE,1
594,594,1,9,1339,"Prefeitura Municipal de Amparo","201009",FALSE,"Amparo",594,FALSE,1
595,595,1,9,1267,"Prefeitura Municipal de Aparecida","201010",FALSE,"Aparecida",595,FALSE,1
298,298,1,7,5566,"Escritório de Representação do Governo do Estado em Campina Grande","0",FALSE,"Paraíba",298,FALSE,2
299,299,1,11,5566,"Federação das Associações de Municípios da Paraíba","0",FALSE,"Paraíba",299,FALSE,2
305,305,1,5,5566,"Fundação Centro de Tecnologia Industrial da Paraíba","0",FALSE,"Paraíba",305,FALSE,2
309,309,1,5,5566,"Fundação de Amparo à Pesquisa do Estado da Paraíba","0",FALSE,"Paraíba",309,FALSE,2
